name,term,rate
Hillary Clinton,economy,0.044835483
Hillary Clinton,immigration,0.044654694
Hillary Clinton,health_care,0.103350609
Hillary Clinton,military,0.042244185
Hillary Clinton,gun_control,0.112872122
Hillary Clinton,china,0.011028082
Hillary Clinton,trade,0.127335181
Hillary Clinton,race,0.416295046
Hillary Clinton,climate_change,0.018199349
Hillary Clinton,religion,0.020790647
Bernie Sanders,economy,0.064419625
Bernie Sanders,immigration,0.046469884
Bernie Sanders,health_care,0.164273368
Bernie Sanders,military,0.047733014
Bernie Sanders,gun_control,0.075721314
Bernie Sanders,china,0.007778221
Bernie Sanders,trade,0.05989895
Bernie Sanders,race,0.432522271
Bernie Sanders,climate_change,0.083100652
Bernie Sanders,religion,0.018082702
