word,polarity
economy,economy
job,economy
growth,economy
deficit,economy
debt,economy
immigration,immigration
illegal,immigration
Mexicans,immigration
refugees,immigration
migrants,immigration
health,health_care
insurance,health_care
abortion,health_care
medication,health_care
healthcare,health_care
military,military
army,military
arms,military
war,military
nuclear,military
gun,gun_control
assault,gun_control
NRA,gun_control
safety,gun_control
shooting,gun_control
china,china
chinese,china
Jinping,china
Shanghai,china
Beijing,china
trade,trade
exports,trade
imports,trade
international,trade
market,trade
race,race
racism,race
black,race
hispanic,race
white,race
climate,climate_change
change,climate_change
environment,climate_change
global,climate_change
warming,climate_change
religion,religion
God,religion
muslim,religion
christian,religion
faith,religion
