party,term,rate
Democrat,economy,0.055858088
Democrat,immigration,0.046956011
Democrat,health care,0.136498516
Democrat,military,0.046271236
Democrat,gun control,0.098216324
Democrat,china,0.009782502
Democrat,trade,0.09828154
Democrat,race,0.437408289
Democrat,climate change,0.050608146
Democrat,religion,0.020119347
Republican,economy,0.03758098
Republican,immigration,0.135763256
Republican,health care,0.063557456
Republican,military,0.065129882
Republican,gun control,0.082300774
Republican,china,0.03141707
Republican,trade,0.06305428
Republican,race,0.473300208
Republican,climate change,0.012264922
Republican,religion,0.035631172
