name,term,rate
Ted Cruz,economy,0.026118099
Ted Cruz,immigration,0.177760307
Ted Cruz,health care,0.061320755
Ted Cruz,military,0.093640811
Ted Cruz,gun control,0.119933613
Ted Cruz,china,0.011268344
Ted Cruz,trade,0.070143256
Ted Cruz,race,0.365391335
Ted Cruz,climate change,0.022536688
Ted Cruz,religion,0.051886792
Donald Trump,economy,0.044029484
Donald Trump,immigration,0.112137592
Donald Trump,health care,0.064815725
Donald Trump,military,0.049090909
Donald Trump,gun control,0.061130221
Donald Trump,china,0.042751843
Donald Trump,trade,0.059066339
Donald Trump,race,0.534004914
Donald Trump,climate change,0.006486486
Donald Trump,religion,0.026486486
