Choose your candidate,Bernie Sanders,Hillary Clinton,Donald Trump,Ted Cruz,Democrat,Republican
Economy,0.103873239,0.050398992,0.062623718,0.060854301,0.076509779,0.062207542
Immigration,0.108274648,0.02897942,0.059744466,0.102399064,0.067698259,0.069777044
Health Care,0.019806338,0.041159177,0.011157099,0.046225863,0.030732861,0.01940545
Military,0.360475352,0.481730365,0.571351449,0.356348742,0.422523103,0.520781723
Gun Control,0.001760563,0.003779924,0.000899766,0.001170275,0.002793896,0.000963391
China,0.003961268,0.015119698,0.014756163,0.015798713,0.00967118,0.015001376
Trade,0.01540493,0.02099958,0.023213964,0.059684026,0.018267784,0.031791908
Race,0.29665493,0.278034439,0.151700558,0.168519602,0.287126585,0.155656482
Climate Change,0.000880282,0.00251995,0.000179953,0,0.001719321,0.000137627
Religion,0.088908451,0.077278454,0.104372863,0.188999415,0.082957232,0.124277457
